frequency_hz,gmres_none_iter,gmres_diag_iter,gmres_cnn_iter,gmres_none_residual,gmres_diag_residual,gmres_cnn_residual,diag_consistency,cnn_consistency,cnn_relative_inverse_error
38020599.81085358,47,47,8,4.352803992132602e-07,4.29601328638074e-07,1.2348668547613574e-07,0.07059392785878296,0.009891213244931259,0.5490873098673168
38044479.5971893,47,47,7,6.374758989873191e-07,6.512538668457772e-07,1.0253840257326321e-07,0.07164282739373729,0.007052748027829069,0.4030223186766261
38068359.383525014,47,47,6,8.851509487461479e-07,8.91714013218815e-07,8.939462932205465e-08,0.07272127649660544,0.004476201790676972,0.27715855013216334
38092239.169860736,48,48,5,9.466696541082843e-07,9.459380781763375e-07,4.702799933614016e-08,0.07383053978993794,0.0032793626704013925,0.2334376542546766
38116118.95619646,49,49,6,7.717248922225605e-07,7.699618779746356e-07,7.025592380324779e-08,0.07497195502828806,0.004852196831802605,0.3084409988826837
38139998.74253217,49,49,7,8.168096257736635e-07,8.181157916113426e-07,2.3867073629182104e-07,0.07614693845651824,0.007722098283546156,0.4327343400125228
38163878.52886789,49,49,8,8.331967949920116e-07,8.316159590826012e-07,1.8977714689895773e-07,0.07735699064567972,0.010945631964310759,0.5567139168632235
38179798.38642504,49,49,9,8.586389428181373e-07,8.546171927058965e-07,4.2770060486887235e-08,0.07818395662040324,0.013172261200781204,0.6352889636581035
