frequency_hz,gmres_none_iter,gmres_diag_iter,gmres_cnn_iter,gmres_none_residual,gmres_diag_residual,gmres_cnn_residual,diag_consistency,cnn_consistency,cnn_relative_inverse_error
38020599.81085358,47,47,6,4.352803992132602e-07,4.29601328638074e-07,2.5966992745151518e-08,0.07059392785878296,0.004065477784149962,0.264224088470753
38044479.5971893,47,47,4,6.374758989873191e-07,6.512538668457772e-07,6.560880106660427e-08,0.07164282739373729,0.001504470036719988,0.11478237070198821
38068359.383525014,47,47,5,8.851509487461479e-07,8.91714013218815e-07,2.73676841695323e-07,0.07272127649660544,0.0038023799249540034,0.24266283960242854
38084279.24108216,48,48,7,8.742233640097679e-07,8.765222717163053e-07,4.959135175743284e-08,0.07345728054407884,0.006167416178707831,0.3756733252214582
